场号,场景与氛围,镜头号,镜头类别,摄影机运动,景别,画面内容,对白或独白,环境音效,声效
1,老人的房间-清晨,1-1,动画,静止,全景,一间陈设简单但整洁的房间，色调是压抑的灰白色。唯一的色彩来自床头柜上一个发光的玻璃罐。一位老人（亚瑟）坐在床边，神情落寞。,/,窗外模糊的鸟鸣，房间内寂静无声,/
,,1-2,动画,缓慢推近,特写,那个玻璃罐里，飘浮着许多像萤火虫一样的金色光点。亚瑟小心翼翼地捧起罐子。,/,/,玻璃罐发出轻微、温暖的嗡鸣声
,,1-3,动画,静止,近景,亚瑟打开罐子，一个光点飞出，在他面前幻化成一幅温暖的动态画面：年轻的亚瑟正和他已故的妻子（艾拉）在花园里跳舞。画面是彩色的，充满爱意。,/,画面中传来悠扬的华尔兹音乐,/
,,1-4,动画,静止,特写,老亚瑟看着幻象，脸上露出幸福而悲伤的微笑。幻象结束后，光点飞回罐子，房间重归灰白。,/,音乐消失，回归寂静,罐子盖上的轻微咔哒声
2,公园小径-白天,2-1,动画,跟镜头,中景,亚瑟穿着大衣，像捧着稀世珍宝一样，将回忆罐抱在怀里，在公园里散步。周围的世界依然是灰白色。,/,萧瑟的风声，远处孩子模糊的玩闹声,亚瑟沉稳的脚步声
,,2-2,动画,慢动作,全景,一只淘气的小狗突然冲出，撞到了亚瑟的腿。亚瑟一个踉跄，手中的回忆罐脱手飞出。,/,/,惊呼声（来自路人），狗叫声
,,2-3,动画,极慢动作,特写,回忆罐在空中划出抛物线，然后重重地摔在地上，应声碎裂。所有的金色光点瞬间飞散，消失在空气中。,/,世界瞬间静音,玻璃破碎的刺耳声，随后是彻底的死寂
,,2-4,动画,俯拍,近景,亚瑟跪倒在地，绝望地伸出手，试图抓住最后消散的光点，但什么也没抓住。他周围的世界变得比之前更加灰暗。,/,压抑的沉默,亚瑟心碎的呜咽声
3,公园长椅-白天,3-1,动画,静止,中景,亚瑟失魂落魄地坐在长椅上，手里只攥着一块碎玻璃。一个小女孩（莉莉）好奇地走到他面前。,/,孩子的嬉笑声（远处）,/
,,3-2,动画,静止,近景,莉莉看到老人很伤心，她指了指亚瑟脚边的一个东西：一个被遗忘在草地上的旧旧的、彩色的儿童风车。,/,/,/
,,3-3,动画,静止,特写,亚瑟顺着她指的方向看去。当他看到那个风车时，一个微弱的金色光点，从风车上浮现出来，飞入他的手心。,/,/,一声轻柔的、像风铃一样的叮咚声
,,3-4,动画,交叉剪辑,近景,亚瑟的脑海中闪回一个画面：年轻时，妻子艾拉正笑着把这个风车递给他。那是他们第一次约会的纪念品。,/,记忆中艾拉的笑声和背景音乐,/
4,公园各处-白天,4-1,动画,静止,中景,莉莉似乎明白了什么。她拉着亚瑟的手，把他带到公园的旧旋转木马前。,/,温馨的背景音乐起,/
,,4-2,动画,静止,特写,亚瑟触摸着木马上斑驳的油漆，又一个更亮的光点从中浮现。闪回：他和艾拉在这里拍过一张搞怪的合照。,/,记忆中相机的快门声,/
,,4-3,动画,快速剪辑,近景,莉莉带着亚瑟找到了：他们一起喂过鸽子的长椅、刻着他们名字首字母的老树... 每找到一处，就有一个记忆光点亮起，飞到亚瑟身边环绕。,/,音乐逐渐变得丰满、动人,/
5,公园长椅-黄昏,5-1,动画,静止,全景,亚瑟和莉莉回到长椅上。此刻，亚瑟的周围漂浮着无数个温暖的金色光点，比罐子里时还要明亮。,/,温暖的音乐达到高潮,/
,,5-2,动画,缓慢拉近,中景,亚瑟看着这些光点，又看了看身边天真的莉莉，泪水滑落，但这次是释怀和感激的微笑。他终于明白，回忆不在罐子里，而在世界的每一个角落。,/,/,亚瑟满足的深呼吸声
,,5-3,动画,静止,特写,随着亚瑟的释怀，他周围的灰白世界，从他脚下开始，像水彩画一样，被温柔的色彩一点点重新浸染。,/,/,/
6,公园小径-黄昏,6-1,动画,静止,全景,整个公园恢复了温暖绚丽的色彩。亚瑟站起身，他把那个旧风车递给了莉莉。,/,音乐变得轻快而悠扬,/
,,6-2,动画,跟镜头,中景,亚瑟牵着莉莉的手，两人向着夕阳走去。莉莉高兴地举着风车，风车在晚风中旋转。亚瑟的脚步坚定而温暖。,/,孩子清脆的笑声和风车转动的声音,/
